,link,address,price,type,nbr_of_rooms,boarea,biarea,tomtarea,byggår
0,https://www.hemnet.se/bostad/radhus-4rum-torslanda-goteborgs-kommun-runslingan-178-19279466,"Runslingan 178, Torslanda, Göteborgs kommun",3925000,Radhus,4,112 m²,N/A,171 m²,1974
1,https://www.hemnet.se/bostad/villa-4rum-kallered-molndals-kommun-gamla-riksvagen-52-19511695,"Gamla Riksvägen 52, Kållered, Mölndals kommun",3490000,Villa,4,92 m²,N/A,408 m²,1926
2,https://www.hemnet.se/bostad/radhus-5rum-tolered-goteborgs-kommun-ragakern-30-19351421,"Rågåkern 30, Tolered, Göteborgs kommun",3490000,Radhus,5,122 m²,5 m²,"167,8 m²",1973
3,https://www.hemnet.se/bostad/villa-6rum-ravlanda-harryda-kommun-bjorkvagen-7-19506775,"Björkvägen 7, Rävlanda, Härryda kommun",3875000,Villa,6,140 m²,40 m²,972 m²,1973
4,https://www.hemnet.se/bostad/villa-6rum-helgered-goteborgs-kommun-helgeredsvagen-10-19507875,"Helgeredsvägen 10, Helgered, Göteborgs kommun",3995000,Villa,6,160 m²,51 m²,"1 130,6 m²",1978
5,https://www.hemnet.se/bostad/radhus-5rum-angered-goteborgs-kommun-molnesjogatan-7-19511557,"Mölnesjögatan 7, Angered, Göteborgs kommun",2485000,Radhus,5,114 m²,57 m²,"185,1 m²",1982
6,https://www.hemnet.se/bostad/villa-4rum-solangen-molndals-kommun-frejagatan-48-19507042,"Frejagatan 48, Solängen, Mölndals kommun",4000000,Villa,4,114 m²,N/A,889 m²,1935
7,https://www.hemnet.se/bostad/radhus-5rum-tuve-goteborgs-kommun-grinnekullegatan-159-19506798,"Grinnekullegatan 159, Tuve, Göteborgs kommun",3450000,Radhus,5,132 m²,N/A,162 m²,1971
8,https://www.hemnet.se/bostad/villa-5rum-molndals-kommun-floravagen-1a-19370517,"Floravägen 1A, Mölndals kommun",3650000,Villa,5,117 m²,N/A,218 m²,1963
9,https://www.hemnet.se/bostad/radhus-5rum-rannebergen-goteborgs-kommun-lilla-idtjarnsgatan-111-19503635,"Lilla Idtjärnsgatan 111, Rannebergen, Göteborgs kommun",2690000,Radhus,5,128 m²,10 m²,200 m²,1983
10,https://www.hemnet.se/bostad/radhus-4rum-kallered-livered-molndals-kommun-sagasvagen-26-19314155,"Sagåsvägen 26, Kållered | Livered, Mölndals kommun",3795000,Radhus,4,98 m²,N/A,N/A,N/A
11,https://www.hemnet.se/bostad/radhus-4rum-angas-korsasen-goteborgs-kommun-korsasliden-88-19496735,"Korsåsliden 88, Ängås - Korsåsen, Göteborgs kommun",3975000,Radhus,4,100 m²,23 m²,225 m²,1974
12,https://www.hemnet.se/bostad/villa-5rum-fjaras-kungsbacka-kommun-fjaras-backsippevag-1-19496216,"Fjärås Backsippeväg 1, Fjärås, Kungsbacka kommun",3490000,Villa,5,127 m²,127 m²,1 038 m²,1964
13,https://www.hemnet.se/bostad/villa-4rum-torslanda-goteborgs-kommun-hastlyckan-8-18829221,"Hästlyckan 8, Torslanda, Göteborgs kommun",3500000,Villa,4,99 m²,N/A,1 336 m²,1961
14,https://www.hemnet.se/bostad/radhus-4rum-kallered-molndals-kommun-sagasvagen-37-19487917,"Sagåsvägen 37, Kållered, Mölndals kommun",3995000,Radhus,4,108 m²,N/A,N/A,2018
15,https://www.hemnet.se/bostad/villa-5rum-onsala-rydet-kungsbacka-kommun-galeasvagen-6-19446476,"Galeasvägen 6, Onsala - Rydet, Kungsbacka kommun",3800000,Villa,5,118 m²,16 m²,918 m²,1975
16,https://www.hemnet.se/bostad/radhus-4rum-savedalen-partille-kommun-brolyckan-9-19446575,"Brolyckan 9, Sävedalen, Partille kommun",3995000,Parhus,4,112 m²,N/A,N/A,2000
17,https://www.hemnet.se/bostad/radhus-4rum-hisings-karra-goteborgs-kommun-svarvstensvagen-20-19478155,"Svarvstensvägen 20, Hisings Kärra, Göteborgs kommun",3495000,Kedjehus,4,96 m²,N/A,N/A,2007
18,https://www.hemnet.se/bostad/radhus-5rum-hisings-karra-goteborgs-kommun-russvagen-24-19478056,"Russvägen 24, Hisings Kärra, Göteborgs kommun",3595000,Kedjehus,5,120 m²,N/A,N/A,1997
19,https://www.hemnet.se/bostad/villa-5rum-ravlanda-harryda-kommun-rammsjon-307-19356335,"Rammsjön 307, Rävlanda, Härryda kommun",3795000,Villa,5,118 m²,N/A,1 746 m²,1909
20,https://www.hemnet.se/bostad/radhus-6rum-biskopsgarden-goteborgs-kommun-hojdhopparegangen-3-19017730,"Höjdhopparegången 3, Biskopsgården, Göteborgs kommun",2995000,Radhus,6,117 m²,24 m²,N/A,1995
21,https://www.hemnet.se/bostad/radhus-4rum-kvillebacken-goteborgs-kommun-gamla-bjorlandavagen-38b-19466860,"Gamla Björlandavägen 38B, Kvillebäcken, Göteborgs kommun",3695000,Radhus,4,107 m²,N/A,"204,2 m²",1960
22,https://www.hemnet.se/bostad/radhus-4rum-landvetter-harryda-kommun-lunnavagen-11-19465196,"Lunnavägen 11, Landvetter, Härryda kommun",3900000,Radhus,4,105 m²,N/A,159 m²,1967
23,https://www.hemnet.se/bostad/radhus-5rum-utby-goteborgs-kommun-kolmataregatan-15-19464197,"Kolmätaregatan 15, Utby, Göteborgs kommun",3890000,Radhus,5,123 m²,5 m²,230 m²,1964
24,https://www.hemnet.se/bostad/radhus-4rum-gardsten-goteborgs-kommun-kardemummaslingan-47-19461365,"Kardemummaslingan 47, Gårdsten, Göteborgs kommun",2650000,Radhus,4,102 m²,N/A,N/A,2021
25,https://www.hemnet.se/bostad/villa-5rum-onsala-kungsbacka-kommun-krabbeliden-1-19460656,"Krabbeliden 1, Onsala, Kungsbacka kommun",3995000,Villa,5,135 m²,N/A,1 595 m²,1976
26,https://www.hemnet.se/bostad/villa-4rum-olofstorp-goteborgs-kommun-bergums-prastgardsbacke-12-19457876,"Bergums Prästgårdsbacke 12, Olofstorp, Göteborgs kommun",3295000,Villa,4,108 m²,N/A,N/A,2017
